Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
GoogleCrashHandler64.exe		1,740 K	228 K	6520		
firefox.exe	1.12	181,560 K	280,164 K	3272	Firefox Developer Edition	Mozilla Corporation
 firefox.exe	1.01	24,212 K	106,200 K	5204	Firefox Developer Edition	Mozilla Corporation
 firefox.exe		52,836 K	113,116 K	4564	Firefox Developer Edition	Mozilla Corporation
 firefox.exe		24,840 K	73,132 K	7556	Firefox Developer Edition	Mozilla Corporation
 firefox.exe	0.02	37,884 K	83,408 K	6532	Firefox Developer Edition	Mozilla Corporation
 firefox.exe		24,700 K	61,672 K	3992	Firefox Developer Edition	Mozilla Corporation
 firefox.exe	0.02	51,900 K	103,000 K	1988	Firefox Developer Edition	Mozilla Corporation
 firefox.exe		55,652 K	140,228 K	4128	Firefox Developer Edition	Mozilla Corporation
 firefox.exe	0.06	169,340 K	293,632 K	7384	Firefox Developer Edition	Mozilla Corporation
 firefox.exe		6,108 K	17,204 K	704	Firefox Developer Edition	Mozilla Corporation
 firefox.exe		60,416 K	142,900 K	8960	Firefox Developer Edition	Mozilla Corporation
conhost.exe		6,856 K	15,972 K	4780	Console Window Host	Microsoft Corporation
bash.exe		6,224 K	8,316 K	8928		

